tidak_baku,kata_baku
yah,ya
jadi nya,jadinya
plisss,tolong
apk,aplikasi
gabisa,tidak bisa
gaboleh,tidak boleh
gk bisa,tidak bisa
skrg,sekarang
blm,belum
membanyu,membantu
cape,capek
donload,download
cape dehhh,capek sekali
uda,sudah
kagak,tidak
ngga,tidak
gak,tidak
eror,error
privikasi,privasi
pdhal,padahal
gajelas,tidak jelas
gabiaa,tidak bisa
loh,lho
aiun,akun
gag,tidak
mlh,malah
harusnya,seharusnya
gag ada,tidak ada
ga bisa,tidak bisa
di bekukan,dibekukan
hialng,hilang
munggu,menunggu
hrs,harus
"nambah""",menambah
pingin,ingin
setia,setiap
mw,mau
tfr,transfer
log in,login
dr,dari
klwr,keluar
apk,aplikasi
tp,tapi
bkin,bikin
blm,belum
Eror,Error
terusvuntuk,terus untuk
tdk,tidak
kÃ¨ndala,kendala
trs,terus
kanaan,kanan
vermuk,verifikasi muka
mentok,mentok
verfikasi,verifikasi
udh,sudah
bener,benar
ga,tidak
bsa,bisa
blh,boleh
tf,transfer
ferivikasi,verifikasi
ngedipin,mengedipkan
mentok,terhenti
qris,QRIS
sampe,sampai
gr gr,gara-gara
jd,jadi
ngak,tidak
lgi,lagi
brp,berapa
trus,terus
min,admin
tr,transfer
gt,gitu
ok,oke
gk,tidak
apk,aplikasi
tidak,tidak
eror,error
bgt,banget
bgini,begini
klw,kalau
hrsx,harusnya
dri,dari
g dpt,tidak dapat
g,tidak
mnimum,minimum
deso,desa
heror,error
jongkok,lambat
blm,belum
krn,karena
dn,dan
bbrpa,beberapa
rek,rekening
no,nomor
jg,juga
untk,untuk
aktipitas,aktivitas
bgs,bagus
sdh,sudah
gk,tidak
dh,sudah
ferifikasi,verifikasi
slalu,selalu
sndr,sendiri
mw,mau
tf,transfer
dr,dari
kg,tidak
yg,yang
jdi,jadi
gak,tidak
ky,kayak
dlm,dalam
bumn,BUMN
gitu,begitu
bikinin,buatkan
kek,kayak
gk,tidak
dgn,dengan
gak,tidak
di bikinin,dibuatkan
rekomen,rekomendasi
utk,untuk
dgn,dengan
kolo,kalau
lom,belum
sdh,sudah
apk,aplikasi
bgt,banget
ky,kayak
slalu,selalu
ndak,tidak
g,tidak
gx,tidak
smg,semoga
dr,dari
bt,buat
loding,loading
gx,tidak
ngebug,bug
nyesel,menyesal
min,admin
bangaet,banget
yg,yang
bsa,bisa
fiktur,fitur
Lumayun,Lumayan
Cb,Coba
dl,dulu
y,ya
klu,kalau
bgs,bagus
lnjt,lanjut
ksh,kasih
Apk,Aplikasi
sudh,sudah
tp,tapi
trs,terus
gmn,gimana
gk,gak
bgt,banget
bs,bisa
udh,sudah
jg,juga
yg,yang
sj,saja
msh,masih
smp,sampai
ktp,KTP
bgt,banget
krn,karena
bgmn,bagaimana
klo,kalau
ngg,etidak
dr,dari
mo,mau
tf,transfer
mn,mana
blh,boleh
aq,aku
tdk,tidak
trs,terus
sj,saja
skrg,sekarang
mlm,malam
trk,tarik
knp,kenapa
sdh,sudah
hrus,harus
mlh,malah
krn,karena
dg,dengan
emal,email
kokdhak,kok tidak
Msih,Masih
trlalu sdkit,terlalu sedikit
Mantab,Mantap
aktifitas,aktivitas
mw,mau
syaratketentuan,syarat ketentuan
jga,juga
tp,tapi
trus,terus
mntap,mantap
pervikasi,verifikasi
kitim,kirim
tdx,tadi sudah
bgitu,begitu
sterusx,seterusnya
ntah,entah
tibaÂ²,tiba tiba
ngak,tidak
topup,top up
klo,kalau
jd,jadi
apknya,aplikasinya
ga jelassss,tidak jelas
LOGOUT,logout
jgha,juga
truss,terus
satset,cepat
kasih bintang,beri bintang
dicentangin,dicentang
instruksikan,diarahkan
tidak,tidak
bgus,bagus
kali nya,kalinya
di bikin,dibikin
di perbaiki,diperbaiki
Kalo,Kalau
eror,error
maluin,memalukan
ga,tidak
bener,benar
Bug,bug
tulisan nya,tulisannya
tidak,tidak
gk,tidak
G,Tidak
mbanking,m banking
ganguan,gangguan
aj,saja
mlu,melulu
dijam,di jam
apk,aplikasi
tf,transfer
karna,karena
telp,telepon
verivikasi,verifikasi
dengn,dengan
kog,kok
min,admin
Okr,Oke
Jangn,Jangan
berikn,berikan
privikasih,privasi
bkin,bikin
riweh,ribet
krn,karena
ny,nya
skali,sekali
filturnyaa,fiturnya
Ibih,lebih
dgn,dengan
skrng,sekarang
gax,tidak
Jos,Bagus
bgt,banget
aksebilitas,aksesibilitas
transaksi,transaksi
burik,jelek
mantaaaaap,mantap
sesi,sesi
hape,ponsel
sbg,sebagai
sbnrnya,sebenarnya
complainnya,komplainnya
low,lambat
respon,respons
coba,coba
Apk,Aplikasi
vermuk,verifikasi muka
khususuny,khususnya
dikit,dikit
ganguan,gangguan
B,bintang
doeloe,dulu
MudahÂ²an,mudahan
g,tidak
baru,baru saja
kembalika,kembalikan
bloon,bloon
kga,tidak
TF,transfer
trs,terus
vitur,fitur
bangett,banget
angka,angkanya
tdk,tidak
bsa,bisa
dpke,dipakai
Mantab,Mantap
laah,lah
wow,wah
blm,belum
prbaiknnya,perbaikannya
tranfer,transfer
discount,diskon
nyusahin,menyusahkan
nggk,tidak
bug,bug
q,saya
pengenlan,pengenalan
Krn,Karena
pake,pakai
Tlong,Tolong
min,admin
bnykin,banyakin
fturny,fiturnya
sblh,sebelah
payleterny,paylater nya
min,admin
ceo,CEO
knp,kenapa
trus,terus
