content,sentimen,aspek
LEBIH simpel BNI MOBILE. MAKSUDNYA APA YAH nasabah di suruh migrasi fungsinya sama aja sama BNI mobile. BUMN Oh BUMN,Negative,Tampilan
Lebih simpel dari aplikasi BNI sebelumnya,Positive,Tampilan
"Wah, notifikasi terkait konfirmasi transaksi lama dan kadang reciept/riwayat transaksi yg terjadi ga ke track. Justru lebih baik di app sebelumnya, bnimobile. Tampilannya memang lebih menarik tapi untuk penggunaannya masih cukup merepotkan dan membingungkan. Tidak senyaman itu.",Positive,Tampilan
"Lebih simpel fiturÂ² nya, tapi belum ada fitur tarik tunai langsung",Positive,Tampilan
Keren Sih tapi gak ada bonus nya,Positive,Tampilan
"Aplikasi Bank yang paling buruk, sering error, sering minta verifikasi wajah, namun sensor wajah dari aplikasi ini sangat buruk jadinya verifikasi wajah pun gagal dan HARUS DIULANG KEESOKAN HARINYA ! Tampilan menu didalamnya ribet dan rumit. Pengalaman paling buruk menggunakan aplikasi Bank BNI ini !!",Negative,Tampilan
"Bagus tampilan nya,tpi untuk mobile tunai belom tersedia semoga kedepan nya ada",Positive,Tampilan
"Untuk karakter password harap di tambah, password sangat rentan. Tampilan ui aplikasi biasa aja. Tidak proposional",Negative,Tampilan
Wondr by BNI keren tapi masih kurang sampai sekali pembukaan rekening Life Goals belum bisa dan selalu keterangan Ada sedikit kendala..,Positive,Tampilan
Repot sekali wonder ini bikin susah login... Malas aku sebenarnya pakai BNI wonder ini bagus dan simpel pakai BNI biasa... Mau isi token listri ja harus di wonder... Ahkkk repot...,Negative,Tampilan
UI bagus. Ramah untuk kalangan muda,Positive,Tampilan
Aplikasi nya keren sih sangat memudahkan bertransaksi gaperlu repot repot ke ATM. Fitur fiturnya juga keren sih gampang banget transaksi nya juga. Sangat membantu terimakasih wondr by BNI,Positive,Tampilan
"aplikasi keren dan multifungsi , bisa bayar tagihan langsung dari HP ,dan mudah pantau keuangan,topup e-wallet mudah dan bisa kapan saja, dapat mengatur keuangan dan banyak promo menarik.",Positive,Tampilan
"Tampilan bagus, cocok banget sama selera anak muda. Fitur""nya gampang dipahami, walaupun yang make orang tua sekalipun. Memudahkan banget buat keperluan transfer sehari"".",Positive,Tampilan
"Ini aplikasinya membantu saya dalam mengelola keuangan, Aplikasinya juga mudah digunakan tampilannya simple dan mudah di mengerti oleh awam apalagi ada fitur pembayaran pakai QRIS jadi cepet banget mau bayar apapun tinggal scan aja Pokoknya rekomendasi banget aplikasi nya ðŸ˜",Positive,Tampilan
